ad_id,title,description,image_url
1,Limited Offer,Shop the latest trends at unbeatable prices,https://via.placeholder.com/150?text=Ad+1
2,Flash Sale,Check out our exclusive new arrivals,https://via.placeholder.com/150?text=Ad+2
3,Just Dropped,Shop the latest trends at unbeatable prices,https://via.placeholder.com/150?text=Ad+3
4,Limited Offer,Hurry! Offer valid till stocks last,https://via.placeholder.com/150?text=Ad+4
5,Flash Sale,Shop the latest trends at unbeatable prices,https://via.placeholder.com/150?text=Ad+5
6,Just Dropped,Best deals for this season,https://via.placeholder.com/150?text=Ad+6
7,Editor's Pick,Up to 70% off on select items,https://via.placeholder.com/150?text=Ad+7
8,Just Dropped,Online only exclusive deal,https://via.placeholder.com/150?text=Ad+8
9,Trending Now,Best deals for this season,https://via.placeholder.com/150?text=Ad+9
10,Trending Now,Hurry! Offer valid till stocks last,https://via.placeholder.com/150?text=Ad+10
11,Just Dropped,Grab before it's gone!,https://via.placeholder.com/150?text=Ad+11
12,New Collection,Hurry! Offer valid till stocks last,https://via.placeholder.com/150?text=Ad+12
13,Editor's Pick,Don't miss our weekend bonanza,https://via.placeholder.com/150?text=Ad+13
14,Trending Now,Check out our exclusive new arrivals,https://via.placeholder.com/150?text=Ad+14
15,Mega Discount,Check out our exclusive new arrivals,https://via.placeholder.com/150?text=Ad+15
16,Editor's Pick,Hurry! Offer valid till stocks last,https://via.placeholder.com/150?text=Ad+16
17,Clearance Sale,Best deals for this season,https://via.placeholder.com/150?text=Ad+17
18,Editor's Pick,Best deals for this season,https://via.placeholder.com/150?text=Ad+18
19,Hot Deals,Best deals for this season,https://via.placeholder.com/150?text=Ad+19
20,New Collection,Check out our exclusive new arrivals,https://via.placeholder.com/150?text=Ad+20
21,New Collection,Limited stock remaining,https://via.placeholder.com/150?text=Ad+21
22,Mega Discount,Best deals for this season,https://via.placeholder.com/150?text=Ad+22
23,Clearance Sale,Limited stock remaining,https://via.placeholder.com/150?text=Ad+23
24,Buy 1 Get 1,Up to 70% off on select items,https://via.placeholder.com/150?text=Ad+24
25,Flash Sale,Up to 70% off on select items,https://via.placeholder.com/150?text=Ad+25
26,Buy 1 Get 1,New users get extra cashback,https://via.placeholder.com/150?text=Ad+26
27,Flash Sale,Don't miss our weekend bonanza,https://via.placeholder.com/150?text=Ad+27
28,Buy 1 Get 1,Hurry! Offer valid till stocks last,https://via.placeholder.com/150?text=Ad+28
29,Limited Offer,Don't miss our weekend bonanza,https://via.placeholder.com/150?text=Ad+29
30,Hot Deals,Hurry! Offer valid till stocks last,https://via.placeholder.com/150?text=Ad+30
31,Hot Deals,Limited stock remaining,https://via.placeholder.com/150?text=Ad+31
32,New Collection,Check out our exclusive new arrivals,https://via.placeholder.com/150?text=Ad+32
33,Flash Sale,Online only exclusive deal,https://via.placeholder.com/150?text=Ad+33
34,Editor's Pick,Don't miss our weekend bonanza,https://via.placeholder.com/150?text=Ad+34
35,Flash Sale,Best deals for this season,https://via.placeholder.com/150?text=Ad+35
36,Just Dropped,Shop the latest trends at unbeatable prices,https://via.placeholder.com/150?text=Ad+36
37,Limited Offer,New users get extra cashback,https://via.placeholder.com/150?text=Ad+37
38,Just Dropped,Hurry! Offer valid till stocks last,https://via.placeholder.com/150?text=Ad+38
39,New Collection,Limited stock remaining,https://via.placeholder.com/150?text=Ad+39
40,Limited Offer,Limited stock remaining,https://via.placeholder.com/150?text=Ad+40
41,Mega Discount,Online only exclusive deal,https://via.placeholder.com/150?text=Ad+41
42,Trending Now,Online only exclusive deal,https://via.placeholder.com/150?text=Ad+42
43,Buy 1 Get 1,Hurry! Offer valid till stocks last,https://via.placeholder.com/150?text=Ad+43
44,Just Dropped,Don't miss our weekend bonanza,https://via.placeholder.com/150?text=Ad+44
45,Hot Deals,Check out our exclusive new arrivals,https://via.placeholder.com/150?text=Ad+45
46,Editor's Pick,Limited stock remaining,https://via.placeholder.com/150?text=Ad+46
47,Just Dropped,Check out our exclusive new arrivals,https://via.placeholder.com/150?text=Ad+47
48,Clearance Sale,Grab before it's gone!,https://via.placeholder.com/150?text=Ad+48
49,Hot Deals,Hurry! Offer valid till stocks last,https://via.placeholder.com/150?text=Ad+49
50,Just Dropped,Don't miss our weekend bonanza,https://via.placeholder.com/150?text=Ad+50
51,Mega Discount,Don't miss our weekend bonanza,https://via.placeholder.com/150?text=Ad+51
52,Hot Deals,Limited stock remaining,https://via.placeholder.com/150?text=Ad+52
53,Mega Discount,Hurry! Offer valid till stocks last,https://via.placeholder.com/150?text=Ad+53
54,Trending Now,Don't miss our weekend bonanza,https://via.placeholder.com/150?text=Ad+54
55,Trending Now,Check out our exclusive new arrivals,https://via.placeholder.com/150?text=Ad+55
56,Trending Now,Hurry! Offer valid till stocks last,https://via.placeholder.com/150?text=Ad+56
57,Editor's Pick,Limited stock remaining,https://via.placeholder.com/150?text=Ad+57
58,Trending Now,Shop the latest trends at unbeatable prices,https://via.placeholder.com/150?text=Ad+58
59,Trending Now,Limited stock remaining,https://via.placeholder.com/150?text=Ad+59
60,Trending Now,New users get extra cashback,https://via.placeholder.com/150?text=Ad+60
61,Editor's Pick,Up to 70% off on select items,https://via.placeholder.com/150?text=Ad+61
62,Buy 1 Get 1,Online only exclusive deal,https://via.placeholder.com/150?text=Ad+62
63,Trending Now,Don't miss our weekend bonanza,https://via.placeholder.com/150?text=Ad+63
64,Mega Discount,Online only exclusive deal,https://via.placeholder.com/150?text=Ad+64
65,Editor's Pick,Up to 70% off on select items,https://via.placeholder.com/150?text=Ad+65
66,Clearance Sale,Shop the latest trends at unbeatable prices,https://via.placeholder.com/150?text=Ad+66
67,Flash Sale,Grab before it's gone!,https://via.placeholder.com/150?text=Ad+67
68,Hot Deals,New users get extra cashback,https://via.placeholder.com/150?text=Ad+68
69,Just Dropped,Limited stock remaining,https://via.placeholder.com/150?text=Ad+69
70,New Collection,Check out our exclusive new arrivals,https://via.placeholder.com/150?text=Ad+70
71,Clearance Sale,Don't miss our weekend bonanza,https://via.placeholder.com/150?text=Ad+71
72,Just Dropped,New users get extra cashback,https://via.placeholder.com/150?text=Ad+72
73,New Collection,Shop the latest trends at unbeatable prices,https://via.placeholder.com/150?text=Ad+73
74,Clearance Sale,Online only exclusive deal,https://via.placeholder.com/150?text=Ad+74
75,Mega Discount,Online only exclusive deal,https://via.placeholder.com/150?text=Ad+75
76,Editor's Pick,New users get extra cashback,https://via.placeholder.com/150?text=Ad+76
77,Hot Deals,Grab before it's gone!,https://via.placeholder.com/150?text=Ad+77
78,Buy 1 Get 1,Up to 70% off on select items,https://via.placeholder.com/150?text=Ad+78
79,Just Dropped,Don't miss our weekend bonanza,https://via.placeholder.com/150?text=Ad+79
80,Hot Deals,Hurry! Offer valid till stocks last,https://via.placeholder.com/150?text=Ad+80
81,New Collection,Check out our exclusive new arrivals,https://via.placeholder.com/150?text=Ad+81
82,Buy 1 Get 1,Don't miss our weekend bonanza,https://via.placeholder.com/150?text=Ad+82
83,Buy 1 Get 1,New users get extra cashback,https://via.placeholder.com/150?text=Ad+83
84,Mega Discount,Grab before it's gone!,https://via.placeholder.com/150?text=Ad+84
85,Flash Sale,Don't miss our weekend bonanza,https://via.placeholder.com/150?text=Ad+85
86,Flash Sale,Check out our exclusive new arrivals,https://via.placeholder.com/150?text=Ad+86
87,Clearance Sale,Shop the latest trends at unbeatable prices,https://via.placeholder.com/150?text=Ad+87
88,Just Dropped,Limited stock remaining,https://via.placeholder.com/150?text=Ad+88
89,Flash Sale,Shop the latest trends at unbeatable prices,https://via.placeholder.com/150?text=Ad+89
90,Just Dropped,Don't miss our weekend bonanza,https://via.placeholder.com/150?text=Ad+90
91,Clearance Sale,Up to 70% off on select items,https://via.placeholder.com/150?text=Ad+91
92,Hot Deals,Best deals for this season,https://via.placeholder.com/150?text=Ad+92
93,Hot Deals,Hurry! Offer valid till stocks last,https://via.placeholder.com/150?text=Ad+93
94,Buy 1 Get 1,Best deals for this season,https://via.placeholder.com/150?text=Ad+94
95,New Collection,New users get extra cashback,https://via.placeholder.com/150?text=Ad+95
96,Just Dropped,Shop the latest trends at unbeatable prices,https://via.placeholder.com/150?text=Ad+96
97,Just Dropped,New users get extra cashback,https://via.placeholder.com/150?text=Ad+97
98,Just Dropped,Shop the latest trends at unbeatable prices,https://via.placeholder.com/150?text=Ad+98
99,Buy 1 Get 1,Hurry! Offer valid till stocks last,https://via.placeholder.com/150?text=Ad+99
100,Hot Deals,Shop the latest trends at unbeatable prices,https://via.placeholder.com/150?text=Ad+100
101,Flash Sale,Best deals for this season,https://via.placeholder.com/150?text=Ad+101
102,Limited Offer,Up to 70% off on select items,https://via.placeholder.com/150?text=Ad+102
103,Flash Sale,Up to 70% off on select items,https://via.placeholder.com/150?text=Ad+103
104,Hot Deals,Check out our exclusive new arrivals,https://via.placeholder.com/150?text=Ad+104
105,Mega Discount,Shop the latest trends at unbeatable prices,https://via.placeholder.com/150?text=Ad+105
106,Trending Now,Best deals for this season,https://via.placeholder.com/150?text=Ad+106
107,Just Dropped,Check out our exclusive new arrivals,https://via.placeholder.com/150?text=Ad+107
108,Mega Discount,Limited stock remaining,https://via.placeholder.com/150?text=Ad+108
109,Clearance Sale,Grab before it's gone!,https://via.placeholder.com/150?text=Ad+109
110,Hot Deals,Best deals for this season,https://via.placeholder.com/150?text=Ad+110
111,Mega Discount,Limited stock remaining,https://via.placeholder.com/150?text=Ad+111
112,Mega Discount,Check out our exclusive new arrivals,https://via.placeholder.com/150?text=Ad+112
113,Mega Discount,Don't miss our weekend bonanza,https://via.placeholder.com/150?text=Ad+113
114,Just Dropped,Best deals for this season,https://via.placeholder.com/150?text=Ad+114
115,Hot Deals,Best deals for this season,https://via.placeholder.com/150?text=Ad+115
116,Just Dropped,Up to 70% off on select items,https://via.placeholder.com/150?text=Ad+116
117,New Collection,Hurry! Offer valid till stocks last,https://via.placeholder.com/150?text=Ad+117
118,Mega Discount,Up to 70% off on select items,https://via.placeholder.com/150?text=Ad+118
119,Flash Sale,Best deals for this season,https://via.placeholder.com/150?text=Ad+119
120,Editor's Pick,Hurry! Offer valid till stocks last,https://via.placeholder.com/150?text=Ad+120
121,Limited Offer,Grab before it's gone!,https://via.placeholder.com/150?text=Ad+121
122,Buy 1 Get 1,Up to 70% off on select items,https://via.placeholder.com/150?text=Ad+122
123,Mega Discount,Online only exclusive deal,https://via.placeholder.com/150?text=Ad+123
124,Buy 1 Get 1,Shop the latest trends at unbeatable prices,https://via.placeholder.com/150?text=Ad+124
125,Hot Deals,Don't miss our weekend bonanza,https://via.placeholder.com/150?text=Ad+125
126,Hot Deals,Limited stock remaining,https://via.placeholder.com/150?text=Ad+126
127,Just Dropped,Don't miss our weekend bonanza,https://via.placeholder.com/150?text=Ad+127
